CategoryID,CategoryName
AAC,AUTOMOTVE AIR-CON
BUI,BUILDING PRODUCT
CAR,CAR
CMA,ENGINE PRODUCT
DEFAULT,
DOW,DOW CHEMICAL STYROFOAM RTM/RAVAGO BUILDING SOLUTIONS
GAS,
GVB,GEBR.VOM BRAUCKE GMBH & CO.KG
IBOX,INSULATION BOX
KML,KEMLITE-FILON & GLASBORD
LAB,LABOUR/CMP/PMP/OTHERS
MCK,MITSUBISHI COMPLETE KITS
MCK-A,TD10/14/17/22/25/30
MCK-B,TDJ301/430/600 & TDJS35/40/50/70/100 & TD60
MCK-C,TU42/73/100
MCK-D,TU100SAEM / SANDEN
MIB,MITSUBISHI BUS AIR CON.
MIP,MITSUBISHI PARTS
MISC,
MTA,MITSUBISHI TRUCK AIRCON 
OMS,OMNISTOR
PAL,PASTORE LOMBARDI HINGES
PJT,PROJECT SPARE PARTS
PSBM,PROJECT & SERVICE BILL OF MATERIAL
PSL,ALTERNATOR
RSR,ROSER CONSTRUCCIONES METALICAS
RTL,LOAN TRUCK
SKA,SIKA PRODUCT
SKA-O,OTHER SHOES
TKP,THERMOKING PARTS
VKN,VIKAN PRODUCT
ZZ0,NON INVENTORY
ZZ1,NON INVENTORY ITEMS
ZZZ,DISCONTINUED
